sample_player,second,x_m,y_m,distance_step_m
Sample player 1,214.0,-21.36,4.5,2.83
Sample player 6,216.0,0.91,5.41,13.58
Sample player 5,216.0,0.56,-2.27,17.02
Sample player 2,216.0,-0.06,15.71,10.65
Sample player 4,216.0,0.53,-11.77,16.24
Sample player 3,216.0,-20.01,-2.76,1.91
Sample player 1,216.0,-21.29,6.15,1.65
Sample player 6,218.0,2.28,7.21,2.26
Sample player 5,218.0,1.1,-1.0,1.38
Sample player 2,218.0,-0.34,18.98,3.28
Sample player 4,218.0,0.94,-10.08,1.74
Sample player 3,218.0,-19.29,-0.98,1.92
Sample player 1,218.0,-21.43,10.61,4.46
Sample player 6,220.0,1.32,6.63,1.12
Sample player 5,220.0,1.16,-2.3,1.3
Sample player 2,220.0,0.15,18.1,1.01
Sample player 4,220.0,0.94,-10.67,0.59
Sample player 3,220.0,-19.04,-2.4,1.44
Sample player 1,220.0,-21.2,7.6,3.02
Sample player 6,222.0,1.85,2.87,3.8
Sample player 2,222.0,1.14,13.06,5.14
Sample player 3,222.0,-19.63,-9.69,7.31
Sample player 1,222.0,-20.76,0.44,7.17
Sample player 2,224.0,2.01,9.57,3.6
Sample player 4,224.0,0.99,-17.35,6.68
Sample player 3,224.0,-14.36,-14.96,7.45
Sample player 1,224.0,-21.29,-4.46,4.93
Sample player 4,226.0,-1.36,-23.81,6.87
Sample player 3,226.0,-21.4,-19.41,8.33
Sample player 1,226.0,-21.88,-6.75,2.36
Sample player 4,228.0,-4.89,-21.66,4.13
Sample player 3,228.0,-30.21,-20.57,8.89
Sample player 1,228.0,-29.69,-8.65,8.04
Sample player 3,230.0,-33.3,-15.89,5.61
Sample player 1,230.0,-34.95,-6.22,5.79
Sample player 2,232.0,-11.0,20.13,16.76
Sample player 3,232.0,-34.18,-10.93,5.04
Sample player 1,232.0,-32.4,1.77,8.39
Sample player 2,234.0,-5.48,22.89,6.17
Sample player 4,234.0,-2.11,-4.32,17.56
Sample player 3,234.0,-31.54,-6.54,5.12
Sample player 1,234.0,-27.61,8.47,8.24
Sample player 6,236.0,6.76,12.03,10.39
Sample player 5,236.0,7.59,4.62,9.45
Sample player 2,236.0,3.67,18.64,10.09
Sample player 4,236.0,3.39,-2.48,5.8
Sample player 1,236.0,-23.08,9.27,4.6
Sample player 6,238.0,9.2,8.07,4.65
Sample player 5,238.0,13.6,0.23,7.44
Sample player 2,238.0,9.13,13.09,7.79
Sample player 4,238.0,8.32,-6.63,6.44
Sample player 6,240.0,11.33,4.34,4.3
Sample player 5,240.0,13.44,-3.71,3.94
Sample player 2,240.0,10.48,8.98,4.33
Sample player 4,240.0,11.4,-11.67,5.91
Sample player 6,242.0,20.46,1.84,9.47
Sample player 5,242.0,21.33,-4.67,7.95
Sample player 2,242.0,18.47,6.55,8.35
Sample player 4,242.0,20.34,-14.74,9.45
Sample player 6,244.0,24.22,-0.28,4.32
Sample player 5,244.0,24.3,-5.99,3.25
Sample player 2,244.0,23.55,5.22,5.25
Sample player 4,244.0,24.15,-15.17,3.83
Sample player 6,246.0,22.89,-0.88,1.46
Sample player 5,246.0,22.52,-6.19,1.79
Sample player 2,246.0,23.92,6.91,1.73
Sample player 3,246.0,6.74,-6.68,38.28
Sample player 1,246.0,-0.18,0.81,24.41
Sample player 6,248.0,20.63,-0.95,2.26
Sample player 5,248.0,20.16,-6.9,2.46
Sample player 2,248.0,21.2,8.9,3.37
Sample player 3,248.0,7.32,-8.59,2.0
Sample player 1,248.0,1.38,-3.38,4.47
Sample player 2,250.0,19.82,9.36,1.45
Sample player 3,250.0,6.27,-9.66,1.5
